start_location_x,start_location_y,cluster_label
121.521,31.199,1
121.366,31.258,3
121.516,31.283,2
121.474,31.171,1
121.504,31.304,2
121.427,31.278,0
121.48,31.34,5
121.467,31.33,5
121.435,31.153,4
121.349,31.209,3
121.466,31.204,1
121.457,31.118,4
121.456,31.256,0
121.459,31.333,5
121.486,31.302,5
121.543,31.274,2
121.428,31.252,0
121.493,31.315,5
121.449,31.252,0
121.324,31.296,3
121.44,31.196,1
121.473,31.26,0
121.463,31.168,1
121.452,31.26,0
121.488,31.314,5
121.431,31.29,0
121.391,31.269,3
121.482,31.203,1
121.54,31.266,2
121.406,31.207,4
121.463,31.181,1
121.472,31.318,5
121.388,31.131,4
121.452,31.183,1
121.541,31.328,2
121.386,31.214,3
121.498,31.216,1
121.377,31.318,3
121.538,31.324,2
121.441,31.256,0
121.405,31.135,4
121.475,31.194,1
121.513,31.303,2
121.397,31.256,0
121.444,31.321,5
121.386,31.252,3
121.444,31.217,1
121.392,31.22,3
121.538,31.151,1
121.509,31.289,2
121.423,31.276,0
121.491,31.263,2
121.532,31.199,1
121.529,31.175,1
121.488,31.314,5
121.331,31.265,3
121.428,31.244,0
121.45,31.344,5
121.385,31.134,4
121.344,31.28,3
121.355,31.352,3
121.407,31.316,5
121.542,31.292,2
121.308,31.207,3
121.436,31.193,1
121.486,31.21,1
121.456,31.184,1
121.626,31.279,2
121.466,31.2,1
121.456,31.247,0
121.419,31.203,4
121.483,31.338,5
121.49,31.286,2
121.49,31.313,5
121.421,31.196,4
121.446,31.338,5
121.384,31.26,3
121.501,31.274,2
121.536,31.306,2
121.524,31.262,2
121.532,31.296,2
121.483,31.237,1
121.474,31.208,1
121.579,31.278,2
121.45,31.255,0
121.519,31.328,2
121.365,31.176,4
121.537,31.235,2
121.41,31.273,0
121.54,31.291,2
121.32,31.24,3
121.362,31.244,3
121.419,31.292,0
121.392,31.14,4
121.491,31.288,2
121.463,31.229,1
121.366,31.256,3
121.353,31.244,3
121.536,31.212,1
121.451,31.208,1
121.476,31.299,5
121.387,31.32,3
121.481,31.268,0
121.353,31.22,3
121.531,31.321,2
121.45,31.364,5
121.537,31.331,2
121.503,31.293,2
121.49,31.259,2
121.373,31.262,3
121.419,31.253,0
121.486,31.272,2
121.412,31.231,0
121.47,31.197,1
121.321,31.289,3
121.311,31.201,3
121.41,31.214,0
121.322,31.298,3
121.44,31.33,5
121.432,31.136,4
121.361,31.234,3
121.627,31.28,2
121.522,31.284,2
121.473,31.193,1
121.436,31.339,5
121.532,31.311,2
121.515,31.298,2
121.421,31.262,0
121.463,31.181,1
121.441,31.153,4
121.402,31.264,0
121.343,31.175,4
121.54,31.293,2
121.407,31.179,4
121.47,31.257,0
121.477,31.236,1
121.518,31.275,2
121.522,31.324,2
121.479,31.288,5
121.505,31.263,2
121.364,31.132,4
121.509,31.294,2
121.447,31.174,1
121.425,31.329,5
121.457,31.297,5
121.426,31.223,0
121.431,31.208,0
121.393,31.195,4
121.495,31.272,2
121.477,31.27,0
121.532,31.322,2
121.495,31.215,1
121.509,31.289,2
121.526,31.319,2
121.533,31.295,2
121.42,31.234,0
121.36,31.157,4
121.397,31.257,0
121.47,31.201,1
121.367,31.259,3
121.472,31.244,0
121.425,31.145,4
121.465,31.238,0
121.409,31.108,4
121.411,31.277,0
121.493,31.312,5
121.562,31.28,2
121.423,31.171,4
121.459,31.321,5
121.375,31.185,4
121.375,31.233,3
121.45,31.305,5
121.438,31.31,5
121.544,31.293,2
121.533,31.318,2
121.381,31.159,4
121.434,31.259,0
121.41,31.27,0
121.63,31.185,2
121.452,31.199,1
121.467,31.201,1
121.45,31.234,0
121.443,31.187,1
121.429,31.233,0
121.385,31.215,3
121.355,31.303,3
121.438,31.259,0
121.431,31.252,0
121.439,31.277,0
121.445,31.335,5
121.465,31.34,5
121.437,31.215,0
121.366,31.254,3
121.407,31.299,0
121.538,31.301,2
121.49,31.298,5
121.507,31.282,2
121.515,31.269,2
121.439,31.324,5
121.403,31.133,4
121.354,31.279,3
121.401,31.294,0
121.352,31.316,3
121.484,31.304,5
121.354,31.181,4
121.489,31.291,2
121.521,31.261,2
121.407,31.121,4
121.408,31.204,4
121.53,31.318,2
121.421,31.144,4
121.41,31.271,0
121.556,31.282,2
121.44,31.289,0
121.422,31.282,0
121.383,31.11,4
121.41,31.311,5
121.532,31.319,2
121.446,31.319,5
121.389,31.168,4
121.303,31.306,3
121.443,31.27,0
121.5,31.15,1
121.465,31.297,5
121.457,31.279,0
121.435,31.323,5
121.392,31.141,4
121.512,31.301,2
121.48,31.273,2
121.654,31.27,2
121.402,31.266,0
121.382,31.246,3
121.458,31.168,1
121.453,31.19,1
121.389,31.25,3
121.408,31.191,4
121.416,31.217,0
121.549,31.277,2
121.461,31.327,5
121.419,31.265,0
121.507,31.313,2
121.447,31.318,5
121.398,31.239,0
121.416,31.218,0
121.543,31.268,2
121.416,31.238,0
121.557,31.272,2
121.523,31.224,1
121.454,31.29,5
121.496,31.251,2
121.526,31.252,2
121.442,31.282,0
121.448,31.316,5
121.443,31.216,1
121.451,31.218,1
121.447,31.225,0
121.537,31.264,2
121.417,31.238,0
121.365,31.256,3
121.447,31.305,5
121.453,31.119,4
121.392,31.236,3
121.5,31.275,2
121.342,31.252,3
121.451,31.348,5
121.43,31.236,0
121.413,31.231,0
121.448,31.232,0
121.38,31.232,3
121.489,31.26,2
121.358,31.244,3
121.443,31.207,1
121.392,31.14,4
121.353,31.165,4
121.411,31.356,5
121.533,31.268,2
121.518,31.277,2
121.538,31.319,2
121.498,31.294,2
121.389,31.178,4
121.447,31.299,5
121.479,31.27,0
121.509,31.196,1
121.428,31.204,4
121.342,31.165,4
121.528,31.275,2
121.501,31.336,5
121.386,31.254,3
121.483,31.32,5
121.531,31.283,2
121.489,31.264,2
121.536,31.314,2
121.467,31.21,1
121.395,31.273,3
121.469,31.244,0
121.393,31.274,3
121.445,31.324,5
121.421,31.242,0
121.422,31.274,0
121.513,31.332,2
121.399,31.244,0
121.396,31.231,0
121.504,31.316,2
121.476,31.178,1
121.423,31.154,4
121.383,31.147,4
121.414,31.198,4
121.458,31.278,0
121.292,31.21,3
121.381,31.122,4
121.307,31.209,3
121.525,31.267,2
121.426,31.349,5
121.421,31.232,0
121.451,31.31,5
121.424,31.211,0
121.48,31.258,0
121.361,31.135,4
121.465,31.306,5
121.443,31.207,1
121.547,31.266,2
121.477,31.214,1
121.526,31.32,2
121.535,31.188,1
121.513,31.229,1
121.482,31.34,5
121.493,31.186,1
121.52,31.317,2
121.532,31.313,2
121.418,31.271,0
121.422,31.236,0
121.448,31.296,5
121.381,31.319,3
121.407,31.325,5
121.438,31.216,0
121.516,31.263,2
121.49,31.331,5
121.473,31.338,5
121.428,31.265,0
121.53,31.318,2
121.326,31.27,3
121.531,31.312,2
121.382,31.236,3
121.361,31.293,3
121.38,31.233,3
121.43,31.296,0
121.412,31.18,4
121.469,31.218,1
121.416,31.174,4
121.456,31.212,1
